ID;title;artist;genre;year;bpm;nrgy;dnce;val;dur;lyrics;popu
177;Daylight;Maroon 5;pop;2013;120;67;66;37;225;3;66
178;Love Somebody;Maroon 5;pop;2013;120;78;68;40;230;4;65
179;A Little Party Never Killed Nobody (All We Got);Fergie;pop;2013;130;62;76;52;241;18;65
180;Move;Little Mix;pop;2013;121;74;85;77;224;9;63
181;Walks Like Rihanna;The Wanted;no pop;2013;126;82;56;43;202;6;62
182;Rock N Roll;Avril Lavigne;pop;2013;184;96;47;67;207;13;61
183;Heartbreaker;Justin Bieber;pop;2013;105;52;56;58;263;10;61
184;Mirrors - Radio Edit;Justin Timberlake;pop;2013;77;60;58;65;277;5;60
185;Next To Me;Emeli Sande;pop;2013;95;80;67;35;197;4;60
186;Made In The USA;Demi Lovato;pop;2013;87;86;58;59;196;4;60
187;Clown;Emeli Sande;pop;2013;130;23;45;23;221;4;60
188;Girl On Fire (feat. Nicki Minaj) - Inferno Version;Alicia Keys;no pop;2013;93;81;55;34;271;31;59
189;TKO;Justin Timberlake;pop;2013;138;68;61;49;424;24;58
190;Come & Get It;Selena Gomez;pop;2013;80;79;55;58;232;5;57
191;Live It Up;Jennifer Lopez;pop;2013;128;73;69;65;244;17;57
192;We Own The Night;The Wanted;no pop;2013;104;94;55;56;206;13;56
193;Atlas - From The Hunger Games: Catching Fire Soundtrack;Coldplay;no pop;2013;136;45;28;11;236;3;55
194;What About Love;Austin Mahone;pop;2013;100;78;63;28;203;4;54
195;Take Back the Night;Justin Timberlake;pop;2013;107;66;59;33;353;16;54
196;Applause;Lady Gaga;pop;2013;140;78;67;73;212;5;52
197;Anything Could Happen;Ellie Goulding;pop;2013;103;78;70;38;286;3;52
198;Finally Found You;Enrique Iglesias;pop;2013;128;88;62;66;221;10;52
199;Pom Poms;Jonas Brothers;no pop;2013;148;98;68;90;198;9;52
200;#Beautiful;Mariah Carey;pop;2013;107;76;68;45;200;4;51
201;How Ya Doin'? (feat. Missy Elliott);Little Mix;pop;2013;201;95;36;51;211;48;50
202;Crazy Kids (feat. will.i.am);Kesha;pop;2013;128;75;72;50;229;4;46
203;"Ooh La La (from ""The Smurfs 2"")";Britney Spears;pop;2013;128;57;69;73;257;5;45
204;People Like Us;Kelly Clarkson;pop;2013;128;79;60;61;259;4;45
205;Overdose;Ciara;pop;2013;107;70;77;79;227;3;43
206;Right Now - Dyro Radio Edit;Rihanna;pop;2013;130;74;53;45;186;4;42
207;Give It 2 U;Robin Thicke;pop;2013;127;83;67;58;230;7;41
208;Foolish Games;Jewel;no pop;2013;132;34;51;7;250;3;36
209;Outta Nowhere (feat. Danny Mercer);Pitbull;pop;2013;95;84;71;66;207;3;35
210;Freak;Kelly Rowland;no pop;2013;104;78;65;45;274;6;28
211;All of Me;John Legend;no pop;2014;120;26;42;33;270;3;86
212;Stay With Me;Sam Smith;pop;2014;84;42;42;18;173;4;85
213;Summer;Calvin Harris;pop;2014;128;86;60;74;223;3;80
214;"Happy - From ""Despicable Me 2""";Pharrell Williams;pop;2014;160;82;65;96;233;18;79
215;Rude;MAGIC!;pop;2014;144;76;77;93;225;4;79
216;Shake It Off;Taylor Swift;pop;2014;160;80;65;94;219;17;78
217;Dark Horse;Katy Perry;pop;2014;132;59;65;35;216;5;78
218;Hey Brother;Avicii;no pop;2014;125;78;55;46;255;4;78
219;Maps;Maroon 5;pop;2014;120;71;74;88;190;3;78
220;Treasure;Bruno Mars;pop;2014;116;69;87;94;179;4;77
221;Let Her Go;Passenger;no pop;2014;75;54;51;24;253;6;77
222;Problem;Ariana Grande;pop;2014;103;81;66;63;194;15;75
223;Pompeii;Bastille;no pop;2014;127;72;68;57;214;4;73
224;Team;Lorde;pop;2014;100;58;69;42;193;9;73
225;Love Me Again;John Newman;pop;2014;126;89;50;21;240;4;73
226;Latch;Disclosure;no pop;2014;122;73;50;52;256;17;72
227;Adore You;Miley Cyrus;pop;2014;120;66;58;20;279;3;72
228;Love Never Felt So Good;Michael Jackson;pop;2014;118;72;78;71;246;4;71
229;Burn;Ellie Goulding;pop;2014;87;78;56;33;231;4;71
230;She Looks So Perfect;5 Seconds of Summer;no pop;2014;160;95;49;44;202;13;71
231;Fancy;Iggy Azalea;no pop;2014;95;72;91;38;200;7;70
232;Talk Dirty (feat. 2 Chainz);Jason Derulo;pop;2014;100;65;76;76;178;23;68
233;Gorilla;Bruno Mars;pop;2014;140;54;72;64;244;4;68
234;human;Christina Perri;pop;2014;144;49;44;25;251;4;68
